TIPO DE INSTITUTO;NIVEL DE FORMACION;CAMPO AMPLIO;CAMPO ESPECIFICO;CAMPO DETALLADO;NOMBRE DEL PROGRAMA
privado;tecnologico;administracion de empresas y derecho;educacion comercial y administracion;gestion y administracion;tecnologia en gestion de finanzas y comercio internacional
privado;tecnologico;administracion de empresas y derecho;educacion comercial y administracion;gestion y administracion;tecnologia en gestion de finanzas y negocios internacionales
privado;tecnologico;servicios;servicios personales;hoteleria, restaurantes y servicios de banquetes;tecnologia en gestion gastronomica y sommelier
privado;tecnologico;administracion de empresas y derecho;educacion comercial y administracion;mercadotecnia y publicidad;tecnologia en mercadotecnia y publicidad
privado;tecnologico;arte y humanidades;artes;tecnicas audiovisuales y produccion para medios de comunicacion;tecnologia en produccion de animacion digital
privado;tecnologico;arte y humanidades;artes;tecnicas audiovisuales y produccion para medios de comunicacion;tecnologia en produccion de sonido
privado;tecnologico;arte y humanidades;artes;tecnicas audiovisuales y produccion para medios de comunicacion;tecnologia en produccion grafica digital
publica;universitario;servicios;servicios de seguridad;educacion militar y de defensa;gerencia de la seguridad y analisis socio politico
publica;formacion tecnica profesional;servicios;servicios de seguridad;educacion militar y de defensa;tecnica profesional en investigacion y seguridad
publica;tecnologico;servicios;servicios de seguridad;educacion militar y de defensa;tecnologia en administracion y analisis de la seguridad
publica;formacion tecnica profesional;ingenieria, industria y construccion;ingenieria y profesiones afines;ingenieria y profesiones afines no clasificadas en otra parte;tecnica profesional en mantenimiento mecanico aplicado a la operacion de armas de artilleria
publica;formacion tecnica profesional;servicios;servicios de seguridad;educacion militar y de defensa;tecnico profesional en el mantenimiento y operacion de armas basicas de infanteria
publica;formacion tecnica profesional;ingenieria, industria y construccion;ingenieria y profesiones afines;mecanica y profesiones afines a la metalisteria;tecnico profesional en mecanica diesel
publica;tecnologico;ciencias sociales, periodismo e informacion;periodismo e informacion;periodismo, comunicacion y reportajes;tecnologia en locucion y produccion radial
privado;formacion tecnica profesional;salud y bienestar;salud;salud no clasificada en otra parte;tecnico profesional en procesos de seguridad y salud en el trabajo
privado;tecnologico;administracion de empresas y derecho;educacion comercial y administracion;gestion y administracion;tecnologia en gestion administrativa de servicios de salud
privado;tecnologico;administracion de empresas y derecho;educacion comercial y administracion;gestion financiera, administracion bancaria y seguros;tecnologia en gestion administrativa y financiera
privado;tecnologico;administracion de empresas y derecho;educacion comercial y administracion;mercadotecnia y publicidad;tecnologia en gestion de mercadeo y negocios internacionales
privado;tecnologico;administracion de empresas y derecho;educacion comercial y administracion;gestion y administracion;tecnologia en gestion de mercadotecnia y publicidad
privado;tecnologico;administracion de empresas y derecho;educacion comercial y administracion;gestion y administracion;tecnologia en logistica del comercio exterior
privado;tecnologico;administracion de empresas y derecho;educacion comercial y administracion;mercadotecnia y publicidad;tecnologia en produccion grafica publicitaria
privado;formacion tecnica profesional;ingenieria, industria y construccion;ingenieria y profesiones afines;ingenieria y profesiones afines no clasificadas en otra parte;tecnica profesional en mantenimiento de sistemas mecatronicos
privado;formacion tecnica profesional;administracion de empresas y derecho;programas y certificaciones interdisciplinarios relativos a administracion de empresas y derecho;programas y certificaciones interdisciplinarios relativos a administracion de empresas y derecho;tecnica profesional en operaciones aduaneras
privado;formacion tecnica profesional;ingenieria, industria y construccion;ingenieria y profesiones afines;ingenieria y profesiones afines no clasificadas en otra parte;tecnica profesional en procesos de produccion
privado;formacion tecnica profesional;administracion de empresas y derecho;educacion comercial y administracion;gestion y administracion;tecnica profesional en procesos organizacionales
